dataset,feature_strategy,model,fold,accuracy,precision,recall,f1,roc_auc
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,11,0.5483870967741935,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5977272727272727
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,12,0.4838709677419355,0.3333333333333333,0.6,0.42857142857142855,0.4238095238095238
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,13,0.41935483870967744,0.25,0.4,0.3076923076923077,0.4119047619047619
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,14,0.5,0.35294117647058826,0.6,0.4444444444444444,0.575
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,15,0.6,0.4166666666666667,0.5,0.45454545454545453,0.6125
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,1,0.5161290322580645,0.35714285714285715,0.45454545454545453,0.4,0.5022727272727273
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,2,0.3870967741935484,0.30434782608695654,0.7,0.42424242424242425,0.46904761904761905
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,3,0.5806451612903226,0.4,0.6,0.48,0.6357142857142857
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,4,0.5666666666666667,0.4,0.6,0.48,0.55
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,5,0.43333333333333335,0.29411764705882354,0.5,0.37037037037037035,0.45000000000000007
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,6,0.5483870967741935,0.43478260869565216,0.9090909090909091,0.5882352941176471,0.6295454545454546
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,7,0.41935483870967744,0.2777777777777778,0.5,0.35714285714285715,0.4642857142857143
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,8,0.45161290322580644,0.3157894736842105,0.6,0.41379310344827586,0.4904761904761905
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,9,0.43333333333333335,0.29411764705882354,0.5,0.37037037037037035,0.5
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,10,0.5333333333333333,0.4,0.8,0.5333333333333333,0.6000000000000001
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,11,0.4838709677419355,0.4,0.9090909090909091,0.5555555555555556,0.5340909090909092
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,12,0.3225806451612903,0.2608695652173913,0.6,0.36363636363636365,0.3952380952380953
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,13,0.3548387096774194,0.25,0.5,0.3333333333333333,0.39285714285714285
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,14,0.4666666666666667,0.375,0.9,0.5294117647058824,0.575
